date,clones,unique_cloners
2026-06-30,3,3
2026-07-01,2,2
2026-07-02,2,2
2026-07-03,0,0
2026-07-04,1,1
2026-07-05,28,3
2026-07-06,117,48
2026-07-07,255,90
2026-07-08,227,89
2026-07-09,14,8
2026-07-10,152,52
2026-07-11,84,41
2026-07-12,2,2
2026-07-13,2,2
2026-07-14,109,45
2026-07-15,219,80
2026-07-16,35,12
2026-07-17,22,10
2026-07-18,1,1
2026-07-19,4,4
2026-07-20,57,27
2026-07-21,180,75
2026-07-22,124,64
2026-07-23,89,44
2026-07-24,57,25
2026-07-25,9,7
2026-07-26,4,4
2026-07-27,6,6
2026-07-28,76,36
2026-07-29,6,6
2026-07-30,61,32
2026-07-31,12,10
2026-08-01,7,6
2026-08-02,11,7
2026-08-03,144,61
2026-08-04,112,48
2026-08-05,52,34
2026-08-06,45,24
2026-08-07,28,18
2026-08-08,19,12
2026-08-09,40,38
2026-08-10,12,9
2026-08-11,13,10
2026-08-12,49,30
2026-08-13,33,19
2026-08-14,7,6
2026-08-15,3,3
