date,views,unique_visitors
2026-06-30,60,18
2026-07-01,48,21
2026-07-02,65,22
2026-07-03,67,12
2026-07-04,8,4
2026-07-05,25,7
2026-07-06,62,21
2026-07-07,108,16
2026-07-08,153,23
2026-07-09,71,13
2026-07-10,3057,2907
2026-07-11,142,9
2026-07-12,37,12
2026-07-13,44,17
2026-07-14,83,15
2026-07-15,134,20
2026-07-16,84,17
2026-07-17,57,11
2026-07-18,25,6
2026-07-19,15,9
2026-07-20,62,14
2026-07-21,106,17
2026-07-22,107,15
2026-07-23,87,13
2026-07-24,39,16
2026-07-25,37,14
2026-07-26,64,8
2026-07-27,48,17
2026-07-28,196,17
2026-07-29,79,19
2026-07-30,49,14
2026-07-31,48,14
2026-08-01,30,6
2026-08-02,6,5
2026-08-03,142,26
2026-08-04,97,25
2026-08-05,66,13
2026-08-06,166,20
2026-08-07,70,19
2026-08-08,8,7
2026-08-09,23,9
2026-08-10,131,21
